episode,rmse_mean,rmse_se
1,0.48304589153964805,
2,0.44638493675697155,0.0020823646763762707
3,0.4082270380806346,0.004668116671656177
4,0.3766288747214677,0.006675574922577523
5,0.3609078947951085,0.008590995064622057
6,0.32784496970787047,0.015284834193350342
7,0.3073642927724759,0.015352355655498843
8,0.3037528508991548,0.016838761131788775
9,0.2889874400151184,0.01830377764729631
10,0.2929163873691303,0.023971671320928683
11,0.28430387406551993,0.02049502610691609
12,0.2826272247046193,0.02031267926302247
13,0.28295807459623246,0.021918386259424744
14,0.28072493885525124,0.021437566501619355
15,0.27529023688930154,0.023070218382921406
16,0.27088414686983786,0.02184825249943186
17,0.26967195521713083,0.021868511024410835
18,0.26906780510819334,0.022351236888452995
19,0.2678850306200146,0.0221028175959896
20,0.27206853891094307,0.024545606898692115
21,0.26677347863954354,0.02129522429145876
22,0.2674017473085933,0.02265232991920685
23,0.26539185030383994,0.021164240654427728
24,0.26462596918199,0.020681602620205686
25,0.2659398901796256,0.021703863811983814
26,0.26377565228218225,0.021527526795904407
27,0.2636229665699399,0.021526709772858303
28,0.26291816687162467,0.021530285338475723
29,0.2629793685175116,0.02148123164811306
30,0.26205761897723057,0.021499789242922097
31,0.2616708798887771,0.021401169514649293
32,0.2621959239315475,0.02117926426576963
33,0.2621084018198227,0.020895233095901536
34,0.2604141210314129,0.021166599607671716
35,0.26009424817010374,0.020989509608234636
36,0.25974813109685263,0.02104575236462805
37,0.258982620495383,0.02111410390139256
38,0.25871605510388457,0.021012651997081536
39,0.25854101983168876,0.021008223243052657
40,0.258206240814273,0.021084418122523953
41,0.25760268255586555,0.02116070088872396
42,0.257069532690667,0.021144527443028634
43,0.25646277836687703,0.02110803090734675
44,0.25655914360849225,0.021026713615674018
45,0.25641695858717056,0.021002203274667407
46,0.25591406616485746,0.02103397116899163
47,0.25556375195962777,0.020868186113452997
48,0.2553575015689316,0.020721230217445753
49,0.25518063842846656,0.02073238861332446
50,0.254811520584028,0.020693028646240345
51,0.254605864350543,0.020687057251424914
52,0.2542799116694785,0.02064840217596853
53,0.25400466483847134,0.02065647917751275
54,0.2536893635013363,0.020685846388858925
55,0.25344736124219913,0.020686917789078527
56,0.25325251042527347,0.020621128242611236
57,0.25316666912352,0.020660376495448687
58,0.2529341698391232,0.020640457208999142
59,0.25266539920284375,0.020639926693542972
60,0.25249968281048724,0.020640067966184693
61,0.25228821815906455,0.020616949273378926
62,0.2521527296731284,0.020628965820428904
